시도,시군구,이름,셀프,주소,번호,고급휘발유,보통휘발유,경유,실내등유
경기,가평군,하늘에너지(주) 대성주유소,Y,경기 가평군 청평면 경춘로 110 (청평면),031-584-2802,1864.0,1634.0,1439,
경기,가평군,하이웨이주유소,Y,경기 가평군 상면 청군로 927,031-585-0038,,1685.0,1495,1300.0
경기,가평군,현리주유소,N,경기 가평군 하면 현창로 64,031-585-0236,,1700.0,1550,1350.0
경기,가평군,호명주유소,N,경기 가평군 청평명 경춘로 1362,031-584-0551,,1660.0,1490,
경기,가평군,호반주유소,N,경기 가평군 청평면 북한강로 2187,031-584-8875,1859.0,1619.0,1429,1250.0
경기,가평군,홀인원주유소,Y,경기도 가평군 상면 조종로 1622,031-584-3334,,1598.0,1427,1280.0
경기,가평군,화랑포주유소,Y,경기 가평군 청평면 경춘로 113,031-584-1818,,1669.0,1479,1350.0
서울,강남구,(유)동하석유 힐탑셀프주유소,Y,서울 강남구 논현로 640,02-544-4075,1967.0,1797.0,1667,
서울,강남구,(주)만정에너지 삼보주유소,N,서울 강남구 봉은사로 433 (삼성동),02-518-5141,2833.0,2593.0,2555,1850.0
서울,강남구,(주)보성 세곡주유소,Y,서울 강남구  헌릉로 731 (세곡동),02-445-6870,1783.0,1583.0,1428,
서울,강남구,㈜새서울석유 새서울주유소,N,서울 강남구 압구정로 154,02-543-1154,2397.0,2198.0,1998,
서울,강남구,(주)선진도곡주유소,N,서울 강남구 도곡로 162 (도곡동),02-2058-3024,1898.0,1699.0,1594,
서울,강남구,(주)소모 쎈트럴주유소,N,서울 강남구 삼성로 335,02-565-0267,2398.0,2198.0,1998,1650.0
서울,강남구,(주)제이제이네트웍스 제이제이주유소,N,서울 강남구 언주로 716,02-518-5631,2698.0,2458.0,2248,
서울,강남구,(주)중앙에너비스 수서지점,Y,서울 강남구 광평로 202 (수서동),070-8707-4582,1857.0,1637.0,1477,
서울,강남구,HD현대오일뱅크㈜직영 강남셀프주유소,Y,서울 강남구 도곡로 208,02-3462-0018,1919.0,1609.0,1494,
서울,강남구,HD현대오일뱅크㈜직영 도곡셀프주유소,Y,서울 강남구  남부순환로 2718,02-529-5101,1809.0,1626.0,1514,
서울,강남구,HD현대오일뱅크㈜직영 산성셀프주유소,Y,서울 강남구 헌릉로 730,02-2226-4963,1859.0,1595.0,1428,
서울,강남구,HD현대오일뱅크㈜직영 신사현대주유소,N,서울 강남구 도산대로 163 (신사동),02-546-2182,2259.0,1819.0,1699,
서울,강남구,HD현대오일뱅크㈜직영 유진주유소,N,서울 강남구 논현로 152 (도곡동),02-3462-5215,1824.0,1636.0,1529,1570.0
서울,강남구,HD현대오일뱅크㈜직영 한양주유소,N,서울 강남구 압구정로 302 (신사동),02-3444-0804,2365.0,2118.0,1926,
서울,강남구,SK논현주유소,N,서울 강남구 논현로 747 (논현동),02-511-0955,2518.0,2285.0,2095,1750.0
서울,강남구,SK서광주유소,Y,서울 강남구 역삼로 142,02-562-4855,1890.0,1695.0,1575,
서울,강남구,극동유화㈜ 개나리주유소,Y,서울 강남구 언주로 423 (역삼동),02-564-0186,1896.0,1676.0,1544,
서울,강남구,대교셀프주유소,Y,서울 강남구 강남대로 640 (신사동),02-512-5521,2030.0,1710.0,1600,
서울,강남구,대동석유 압구정주유소,Y,서울 강남구 언주로 842 (신사동),02-545-6161,1977.0,1797.0,1687,
서울,강남구,대청주유소,N,서울 강남구 개포로 654 (일원동),02-445-5500,2466.0,2246.0,2046,1869.0
서울,강남구,명품주유소,Y,서울 강남구 도곡로 249 (역삼동),02-501-1256,2247.0,2148.0,1947,
서울,강남구,방죽주유소,Y,서울 강남구 밤고개로 215 (율현동),02-459-3434,,1627.0,1469,
서울,강남구,삼성동주유소,Y,서울 강남구 테헤란로 619 (삼성동),02-508-6572,1965.0,1725.0,1640,
서울,강남구,세진에너지(주) 개포주유소,Y,서울 강남구 양재대로 339,02-573-9031,2155.0,1758.0,1614,1600.0
서울,강남구,오일프러스 셀프,Y,서울 강남구 남부순환로 2651 (도곡동),02-3462-5100,1864.0,1649.0,1526,
서울,강남구,일원주유소,Y,서울 강남구 양재대로55길 3 (일원동),02-2226-5188,,1647.0,1477,
서울,강남구,자곡셀프주유소,Y,서울 강남구 밤고개로 120 (자곡동),02-445-5841,,1638.0,1478,
서울,강남구,지에스칼텍스㈜ 삼성로주유소,Y,서울 강남구 삼성로 563 (삼성동),02-538-5138,2139.0,1939.0,1879,
서울,강남구,지에스칼텍스㈜ 은마주유소,N,서울 강남구 영동대로 235,02-3452-1882,1859.0,1659.0,1643,
서울,강남구,지에스칼텍스㈜에너지플러스허브GS타워,Y,서울 강남구 논현로 516 (역삼동),02-539-5145,1957.0,1757.0,1657,
서울,강동구,(주)삼표에너지 고덕주유소,Y,서울 강동구 고덕로 39 (암사동),02-441-3327,1890.0,1656.0,1538,1539.0
서울,강동구,(주)소모 성내주유소,Y,서울 강동구 올림픽로 578 (성내동),02-479-3838,,1740.0,1630,
서울,강동구,(주)소모 신월주유소,Y,서울 강동구 양재대로 1323 (성내동),02-6956-6674,1856.0,1656.0,1538,1590.0
서울,강동구,(주)퍼스트오일 코알라주유소,Y,서울특별시 강동구  올림픽로 556 (성내동),02-484-1162,1870.0,1680.0,1570,
서울,강동구,sk해뜨는주유소,Y,서울 강동구  상일로 132 (강일동),02-442-7801,1939.0,1699.0,1519,1600.0
서울,강동구,광성주유소,N,서울 강동구 올림픽로 673 (천호동),02-470-5133,,1918.0,1758,1800.0
서울,강동구,구천면주유소,N,서울 강동구 구천면로 357 (암사동),02-441-0536,,1618.0,1457,
서울,강동구,대성석유(주)길동주유소,N,서울 강동구 천호대로 1168,02-474-7222,1835.0,1636.0,1518,1500.0
서울,강동구,방아다리주유소,Y,서울 강동구 동남로 811 (명일동),02-442-5145,1805.0,1605.0,1445,
서울,강동구,재건에너지 재정제2주유소 고속셀프지점,Y,서울특별시 강동구  천호대로 1246 (둔촌제2동),02-487-2030,,1599.0,1439,
서울,강동구,주)지유에너지직영 오렌지주유소,N,서울 강동구 성안로 102 (성내동),02-484-6165,1895.0,1735.0,1615,
서울,강동구,지에스칼텍스㈜ 동서울주유소,Y,서울 강동구 천호대로 1456 (상일동),02-426-5372,1835.0,1635.0,1475,
서울,강동구,천호현대주유소,N,서울 강동구 천중로 67 (천호동),02-484-9323,,1895.0,1695,
강원,강릉시,㈜강릉산업 과학,Y,강원 강릉시 사천면 동해대로 3576,033-645-5064,,1575.0,1415,
강원,강릉시,(주)강릉햇살 유천주유소,Y,강원도 강릉시 사임당로 178(유천동),033-641-1868,1851.0,1568.0,1398,
강원,강릉시,(주)대성길,Y,강원 강릉시 구정면 칠성로 187,033-643-1122,,1550.0,1399,1250.0
강원,강릉시,(주)명진에너지 북강릉지점,Y,강원 강릉시 연곡면 동해대로 4091,033-642-5169,1850.0,1570.0,1420,
강원,강릉시,(주)범일로self주유소,Y,강원 강릉시 범일로 475 (내곡동),033-647-5189,,1554.0,1360,1200.0
강원,강릉시,(주)삼보물류 삼보주유소,Y,강원 강릉시 동해대로 3970,033-644-1011,,1578.0,1438,1300.0
강원,강릉시,(주)진명성덕주유소,Y,강원 강릉시 입암로 47 (입암동),033-642-5182,,1578.0,1419,
강원,강릉시,CJ대한통운㈜ 강릉주유소,Y,강원 강릉시 동해대로 3292,033-642-8603,,1585.0,1425,
강원,강릉시,GS교동택지주유소,Y,강원 강릉시 교동하슬라로 233,033-647-5145,1898.0,1694.0,1498,1325.0
강원,강릉시,HD현대오일뱅크㈜직영 강릉IC주유소,N,강원 강릉시 경강로 1935 (홍제동),033-646-5185,1850.0,1568.0,1457,1230.0
강원,강릉시,HD현대오일뱅크㈜직영 강릉현대주유소,N,강원 강릉시 율곡로 2636 (청량동),033-647-5152,,1568.0,1457,1230.0
강원,강릉시,HD현대오일뱅크㈜직영 샘터주유소,N,강원 강릉시 연곡면 동해대로 4357,033-661-8600,1850.0,1568.0,1457,1230.0
강원,강릉시,KIS정보통신㈜강릉(강릉방향)주유소,Y,강원 강릉시 성산면 영동고속도로 232-1,033-648-9559,,1529.0,1367,
강원,강릉시,KIS정보통신㈜강릉(인천방향)주유소,Y,강원 강릉시 영동고속도로 231-1,033-647-7112,,1529.0,1367,
강원,강릉시,SK에너지(주) 월드컵주유소,N,강원 강릉시 경강로 2224 (포남동),033-646-8645,,1634.0,1459,
강원,강릉시,SK에너지㈜ 주문진주유소,N,강원 강릉시 주문진읍 신리천로 95,033-662-3082,,1599.0,1459,1200.0
강원,강릉시,SK에너지(주)강릉주유소,Y,강원 강릉시 강릉대로 432 (포남동),033-652-5155,,1549.0,1379,1240.0
강원,강릉시,SK에너지(주)교동주유소,Y,강원 강릉시 하슬라로 159 (교동),033-641-4450,,1564.0,1399,
강원,강릉시,감자바우주유소,N,강원 강릉시 동해대로3305번길 7 (죽헌동),033-647-5252,,1578.0,1419,1240.0
강원,강릉시,강릉농협 성산주유소,N,강원 강릉시 성산면 구산길 16,033-641-9379,,1550.0,1390,1200.0
강원,강릉시,강릉농협주유소,N,강원 강릉시 유산로 19 (유산동),033-648-9305,,1550.0,1390,1200.0
강원,강릉시,강릉원예농협주유소,N,강원 강릉시 경강로 1932 (홍제동),033-646-0571,,1550.0,1385,1200.0
강원,강릉시,강릉햇살주유소,Y,강원 강릉시 입암로 12 (입암동),033-648-1951,,1548.0,1389,
강원,강릉시,강원주유소,Y,강원 강릉시 동해대로 3433 (대전동),033-655-5187,,1575.0,1415,
강원,강릉시,경포주유소,N,강원 강릉시 안현로 40 (안현동),033-644-5145,1919.0,1659.0,1499,1290.0
강원,강릉시,관동주유소,Y,강원 강릉시 성산면 구산길 44,033-641-9970,,1550.0,1390,1200.0
강원,강릉시,구도일주유소 솔향강릉,Y,강원 강릉시 경강로 2225,033-655-3051,,1538.0,1368,1200.0
강원,강릉시,구라미주유소,Y,강원 강릉시 사천면 구라미등길 3,033-645-1085,,1570.0,1420,
강원,강릉시,구정(동해)주유소,Y,강원 강릉시 구정면 동해고속도로 345-1,033-644-8456,,1539.0,1389,
강원,강릉시,구정(속초)주유소,Y,강원 강릉시 구정면 동해고속도로 346,033-644-4929,,1529.0,1364,
강원,강릉시,굴다리주유소,N,강원 강릉시 경강로1804번길 8 (홍제동),033-647-1569,,1627.0,1489,1350.0
강원,강릉시,기분좋은주유소,Y,강원 강릉시 경강로 1843 (홍제동),033-648-5149,,1598.0,1438,
강원,강릉시,남강릉주유소,Y,강원 강릉시 동해대로 2336,033-655-8111,,1538.0,1379,1200.0
강원,강릉시,남산주유소,Y,강원 강릉시 남부로 136 (노암동),033-645-3119,1850.0,1564.0,1418,1200.0
강원,강릉시,뉴신일주유소 ㈜씨제이에이치에너지,Y,강원 강릉시 경강로 1889,033-644-3444,1851.0,1537.0,1379,
강원,강릉시,대동강주유소,Y,강원 강릉시 남부로 67 (내곡동),033-643-1203,1799.0,1559.0,1379,1175.0
강원,강릉시,대영주유소,Y,강원 강릉시 가작로 308 (포남동),033-653-5133,,1620.0,1460,1300.0
강원,강릉시,동국주유소,N,강원 강릉시 남구길 31,033-641-1234,,1678.0,1518,1300.0
강원,강릉시,백두에너지(주) 오정주유소,Y,강원 강릉시 경강로 2344,033-652-9276,,1538.0,1368,1250.0
강원,강릉시,백두에너지(주)옥천동지점,N,강원 강릉시 옥가로 37 (옥천동),033-645-3060,,1575.0,1420,
강원,강릉시,북강릉IC주유소,Y,강원 강릉시 사천면 동해대로 3937,033-641-8002,,1577.0,1427,
강원,강릉시,북강릉농협주유소,N,강원 강릉시 주문진읍 신영길 43,033-662-1162,,1540.0,1380,1200.0
강원,강릉시,북강릉주유소,Y,강원 강릉시 연곡면 동해대로 4069,033-643-7007,,1798.0,1698,
강원,강릉시,사임당주유소,N,강원 강릉시 사임당로 31 (홍제동),033-643-4249,,1565.0,1425,1250.0
강원,강릉시,사천농협클린주유소,N,강원 강릉시 사천면 동해대로 3739,033-644-1300,,1570.0,1425,1300.0
강원,강릉시,사천주유소,Y,강원 강릉시 사천면 동해대로 3662,033-645-5182,,1570.0,1400,1330.0
강원,강릉시,삼거리주유소,Y,강원 강릉시 임영로 242 (교동),033-646-0246,,1565.0,1390,1200.0
강원,강릉시,서희주유소,Y,강원 강릉시 강동면 임곡로 217,070-4914-2860,,1580.0,1430,
강원,강릉시,소금강주유소,N,강원 강릉시 연곡면 삼산리 진고개로1515,033-661-4229,,1735.0,1560,
강원,강릉시,소돌주유소,N,강원 강릉시 주문진읍 동해대로 4730,033-661-0117,,1578.0,1428,1250.0
강원,강릉시,솔향주유소,Y,강원 강릉시 공제로437번길 1 (홍제동),033-641-1771,,1528.0,1363,
강원,강릉시,송정주유소,Y,강원 강릉시 경강로 2395 (송정동),033-651-9771,,1538.0,1368,
강원,강릉시,쌍둥이주유소,Y,강원 강릉시 범일로 596 (내곡동),033-641-6765,,1565.0,1395,
강원,강릉시,안목주유소,N,강원 강릉시 경강로 2578 (견소동),033-646-8872,,1657.0,1495,1300.0
강원,강릉시,연곡주유소,N,강원 강릉시 연곡면 진고개로 2720,033-661-4717,,1680.0,1530,1300.0
강원,강릉시,영진주유소,Y,강원 강릉시 연곡면 동해대로 4276,033-662-9920,,1590.0,1440,1200.0
강원,강릉시,옥계(속초) 주유소/충전소,Y,강원 강릉시 옥계면 동해고속도로 322,033-534-2100,,1534.0,1369,
강원,강릉시,옥계그린주유소,N,강원 강릉시 옥계면 동해대로 321,033-534-2335,,1635.0,1480,1300.0
강원,강릉시,옥계농협주유소,N,강원 강릉시 옥계면 현내시장길 14,033-534-0663,,1635.0,1495,1300.0
강원,강릉시,왕산주유소,N,강원 강릉시 왕산면 백두대간로 1986,033-647-8024,,1570.0,1410,1200.0
강원,강릉시,우리주유소,Y,강원 강릉시 율곡로 2573 (유산동),033-645-3900,1850.0,1568.0,1418,
강원,강릉시,웅지에너지(주),Y,강원 강릉시 구정면 범일로 23,033-645-3351,,1620.0,1470,
강원,강릉시,율곡에너지(주)강동,Y,강원 강릉시 강동면 율곡로 2202,033-655-3933,,1598.0,1467,1300.0
강원,강릉시,입암주유소,Y,강원 강릉시 성덕포남로 97 (입암동),033-653-9905,,1556.0,1419,1250.0
강원,강릉시,정동진주유소,N,강원 강릉시 강동면 헌화로 1073,033-644-5053,,1648.0,1468,1250.0
강원,강릉시,제일주유소,Y,강원 강릉시 화부산로141번안길 6-6,033-655-9696,1855.0,1575.0,1395,
강원,강릉시,주문진동해주유소,N,강원 강릉시 주문진읍 동해대로 4623,033-661-5191,,1599.0,1499,1250.0
강원,강릉시,주문진향호주유소,Y,강원 강릉시 주문진읍 동해대로 4785,033-661-4564,,1577.0,1417,
강원,강릉시,직영주유소,Y,강원 강릉시 연곡면 동해대로 4094,033-644-0909,1899.0,1579.0,1469,
강원,강릉시,포남주유소,Y,강원 강릉시 강릉대로 489 (포남동),033-651-0115,,1595.0,1465,1350.0
강원,강릉시,하슬라주유소,N,강원 강릉시 강동면 동해대로 1891,033-644-3787,,1608.0,1458,1198.0
강원,강릉시,해변주유소,N,강원 강릉시 주문진읍 주문북로 106,033-662-0029,,1576.0,1429,1200.0
강원,강릉시,해오름주유소,N,강원 강릉시 성덕로 81 (병산동),033-652-5189,,1755.0,1655,1400.0
강원,강릉시,행운가득초당주유소,N,강원 강릉시 해안로 321 (강문동),033-653-1111,1968.0,1728.0,1558,1380.0
강원,강릉시,호진상사 안국주유소,N,강원 강릉시 가작로 227,033-653-6051,,1859.0,1760,1450.0
강원,강릉시,홍길동주유소 ㈜에스제이와이에너지,Y,강원 강릉시 강릉대로 161,033-641-0044,1889.0,1579.0,1458,1250.0
강원,강릉시,홍제주유소,N,강원 강릉시 경강로 1850 (홍제동),033-645-6660,1948.0,1748.0,1578,1300.0
강원,강릉시,화부산주유소,Y,강원 강릉시 명륜로 45,033-642-5228,,1555.0,1390,1200.0
강원,강릉시,회산주유소,Y,강원 강릉시 관솔길 27 (회산동),033-648-2480,1851.0,1526.0,1361,
서울,강북구,(주)서울에너지 시민주유소,Y,서울 강북구 인수봉로 185 (수유동),02-907-9496,1779.0,1555.0,1375,
서울,강북구,(주)석산에너지,Y,서울 강북구 삼양로 316 (수유동),02-980-1448,,1555.0,1375,1430.0
서울,강북구,(주)자연에너지 번동주유소,Y,서울 강북구 한천로 963 (번동),02-994-4458,1779.0,1555.0,1375,
서울,강북구,㈜지에스이앤알 미아주유소,Y,서울 강북구 도봉로 122 (미아동),02-987-5152,1799.0,1565.0,1385,
서울,강북구,SK에너지(주) 매일주유소,Y,서울 강북구 삼양로 217 (미아동),02-982-8855,,1555.0,1375,
서울,강북구,대성석유(주)신광주유소,N,서울 강북구 삼양로 484,02-908-3320,,1579.0,1399,1480.0
서울,강북구,덕릉로주유소,Y,서울 강북구 덕릉로 158 (번동),02-989-9806,,1555.0,1375,
서울,강북구,북서울고속주유소,Y,서울 강북구 삼양로 410 (수유동),02-907-5182,1779.0,1555.0,1375,
서울,강북구,수유동주유소,Y,서울 강북구 도봉로 395 (수유동),02-902-9470,,1555.0,1375,
서울,강북구,씨앤에스유통㈜ 미아셀프주유소,Y,서울 강북구 도봉로 200 (미아동),02-945-7999,,1565.0,1385,
부산,강서구,㈜BSJ신항만물류주유소,Y,부산 강서구 가락대로 834,051-831-9208,,1545.0,1349,
부산,강서구,(주)경인에너지,N,부산 강서구 생곡로 40 (녹산동),051-971-5013,,1539.0,1349,
부산,강서구,(주)범방주유소,Y,부산 강서구 가락대로 963,051-971-3337,,1559.0,1349,
부산,강서구,(주)서호주유소,Y,부산 강서구 명지국제2로28번길 36,051-206-6661,1819.0,1599.0,1439,
부산,강서구,(주)소모 과학셀프주유소,Y,부산 강서구 과학산단로 297 (지사동),051-973-5153,,1618.0,1438,1500.0
부산,강서구,(주)시큐 국제산단주유소,Y,부산 강서구 생곡로 272,051-714-2208,,1518.0,1338,1250.0
부산,강서구,(주)시큐 대저고속주유소,N,부산 강서구 체육공원로 66 (대저1동),051-941-5151,,1598.0,1328,1290.0
부산,강서구,(주)우양네트웍스 구도일주유소 삼광,Y,부산 강서구 공항로 799 (대저2동),051-941-5188,,1558.0,1377,1300.0
부산,강서구,(주)우양네트웍스 송산주유소,Y,부산 강서구 호계로 200 (죽동동),051-973-7583,,1515.0,1335,
부산,강서구,(주)천일에너지 천일주유소,Y,부산 강서구 낙동북로 65 (강동동),051-973-5999,1838.0,1535.0,1328,
서울,강서구,(주)타이거오일 방화주유소,Y,서울 강서구 방화동로 58-2 (방화동),02-2662-0503,,1554.0,1403,1600.0
서울,강서구,㈜한경에너지 신화곡주유소,Y,서울 강서구 국회대로 71,02-2696-5189,,1548.0,1378,
서울,강서구,(주)한진 김포공항제2주유소,Y,서울 강서구 하늘길 112,02-2661-8892,,1663.0,1513,
부산,강서구,CJ 성민제2주유소,Y,부산 강서구 봉림길94번길 89(봉림동),051-974-0911,,1545.0,1349,
부산,강서구,CJ대한통운㈜ 성민주유소,N,부산 강서구 가락대로 389 (송정동),051-832-1611,,1545.0,1349,
서울,강서구,HD현대오일뱅크㈜직영 가양주유소,N,서울 강서구  양천로 391 (가양동),02-3661-9470,1814.0,1647.0,1519,
서울,강서구,HD현대오일뱅크㈜직영 양화교셀프주유소,Y,서울 강서구 공항대로 653,02-3665-2004,1796.0,1616.0,1496,1539.0
서울,강서구,KH에너지(주)직영 KH외발산주유소,Y,서울 강서구 방화대로 30,032-677-9497,1875.0,1608.0,1418,
부산,강서구,OS신항주유소,Y,부산 강서구 가락대로 845,051-972-6560,,1559.0,1359,
서울,강서구,SK KH에너지 가양주유소,N,서울 강서구 강서로 498 (가양동),02-3664-6051,1816.0,1658.0,1528,
부산,강서구,SK에너지(주) 경마장주유소,Y,부산 강서구 가락대로 1027,051-971-5188,1858.0,1599.0,1359,
부산,강서구,SK에너지(주)새부산주유소,Y,부산 강서구 낙동북로 42 (강동동),051-971-8484,,1694.0,1472,
서울,강서구,강서열린주유소,N,서울 강서구 등촌로 213 (등촌동),02-2647-9091,,1598.0,1438,1600.0
서울,강서구,강서오곡셀프주유소,Y,서울 강서구 벌말로 254 (오곡동),032-671-5186,,1554.0,1387,
서울,강서구,개화주유소,Y,서울 강서구 양천로 57,02-2661-5555,,1617.0,1447,
부산,강서구,공항대로주유소,Y,부산 강서구 공항로 1217 (대저1동),051-973-8122,,1535.0,1328,1300.0
부산,강서구,광신석유(주)직영 명지주유소,Y,부산 강서구 르노삼성대로 372 (명지동),051-271-4405,1959.0,1899.0,1897,1799.0
부산,강서구,구랑주유소,Y,부산 강서구 가락대로 546 (구랑동),051-972-1571,,1539.0,1339,
부산,강서구,금룡주유소,N,부산 강서구 가락대로 1361 (봉림동),051-972-6081,,1568.0,1388,1300.0
부산,강서구,김해공항주유소,Y,부산 강서구 공항진입로 25 (대저2동),051-973-8291,1898.0,1558.0,1377,1290.0
부산,강서구,내트럭(주) 부산신항남컨사업소,N,부산 강서구 신항남로 507,070-4454-9235,,1558.0,1399,
부산,강서구,녹산주유소,Y,부산 강서구 낙동남로 700,051-832-7560,,1589.0,1359,
부산,강서구,녹산화물터미널주유소,N,부산 강서구 녹산산업북로 119 (송정동),051-941-3015,,1595.0,1420,
서울,강서구,뉴신정주유소,N,서울 강서구 곰달래로 207 (화곡동),02-2606-1149,,1559.0,1427,
서울,강서구,대성석유(주) 관문주유소,N,서울 강서구 공항대로 314,02-3665-2051,1826.0,1648.0,1498,1500.0
서울,강서구,대성석유(주) 마곡대성주유소,Y,서울 강서구 강서로 457,02-3664-7781,1816.0,1638.0,1498,
서울,강서구,대성석유(주)방화대성주유소,Y,서울 강서구 양천로 176,02-3663-7781,1816.0,1638.0,1478,
서울,강서구,대성주유소,N,서울 강서구 강서로 472,02-3661-6102,1838.0,1658.0,1528,
부산,강서구,대양산업(주)대양가덕주유소,Y,부산 강서구 거가대로 2571  (천성동),051-715-2201,,1628.0,1478,1400.0
부산,강서구,대양석유(주)한마음주유소,Y,부산 강서구 르노삼성대로 604 (명지동),051-271-2452,,1549.0,1389,
부산,강서구,동방석유㈜직영 대저주유소,Y,부산 강서구 낙동북로 209 (대저1동),051-971-2135,,1535.0,1338,
부산,강서구,만선주유소,N,부산 강서구 가락대로210번길 102,051-831-9171,,1648.0,1458,
부산,강서구,맥도주유소,Y,부산 강서구 공항로 381 (대저2동),051-973-5735,,1549.0,1359,
부산,강서구,명지농협주유소,Y,부산 강서구 르노삼성대로 572 (명지동),051-294-8528,1769.0,1549.0,1389,
부산,강서구,명지주유소,N,부산 강서구 낙동남로 1042,051-271-2828,,1598.0,1458,1450.0
부산,강서구,명품주유소,N,부산 강서구 대저로 283 (대저1동),051-941-0052,,1578.0,1388,1350.0
서울,강서구,목화주유소,Y,서울 강서구 국회대로 251 (화곡동),02-2654-4564,,1559.0,1427,
서울,강서구,박물관주유소,N,서울 강서구 양천로53길 97 (가양동),02-3665-5189,1898.0,1698.0,1598,
부산,강서구,부산신항주유소,Y,부산 강서구 가락대로 706,051-971-5104,,1539.0,1339,
부산,강서구,부산축산업협동조합 농협주유소,N,부산광역시 강서구  낙동남로 448 (녹산동),051-973-8141,,1559.0,1385,
부산,강서구,비케이원(주) 미래드림주유소,Y,부산 강서구 가락대로 649,051-974-0808,,1539.0,1339,
부산,강서구,서부산주유소(순천방향),Y,부산광역시 강서구 남해2지선고속도로 19,051-941-5155,,1618.0,1457,
부산,강서구,세기상사(주) 공항주유소,N,부산 강서구 공항로 469 (대저2동),051-941-7237,,1535.0,1359,
서울,강서구,세원제1주유소,Y,서울 강서구 양천로 311 (가양동),02-3663-5151,,1640.0,1520,
